DATAFLOW,LAST UPDATE,freq,unit,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,AT32,2019,62.1,
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,AT33,2013,60.4,
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,AT33,2014,60.0,
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,AT33,2015,60.2,
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,AT33,2016,58.9,
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,AT33,2018,59.6,
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,AT33,2019,61.0,
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,AT34,2013,43.0,
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,AT34,2014,43.1,
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,AT34,2015,43.5,
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,AT34,2016,41.5,
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,AT34,2018,42.2,
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,AT34,2019,42.6,
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,BE,2013,61.7,
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,BE,2014,61.8,
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,BE,2015,62.4,
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,BE,2016,63.6,
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,BE,2017,65.4,
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,BE,2018,61.3,d
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,BE,2019,67.2,
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,BE1,2013,79.1,
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,BE1,2014,80.3,
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,BE1,2015,80.4,
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,BE1,2016,80.1,
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,BE1,2017,84.5,
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,BE1,2018,78.7,d
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,BE1,2019,92.0,
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,BE10,2013,79.1,
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,BE10,2014,80.3,
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,BE10,2015,80.4,
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,BE10,2016,80.1,
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,BE10,2017,84.5,
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,BE10,2018,78.7,d
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,BE10,2019,92.0,
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,BE2,2013,64.6,
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,BE2,2014,64.4,
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,BE2,2015,63.6,
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,BE2,2016,66.5,
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,BE2,2017,67.0,
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,BE2,2018,61.9,d
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,BE2,2019,70.4,
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,BE21,2013,64.6,
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,BE21,2014,63.6,
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,BE21,2015,63.2,
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,BE21,2016,66.5,
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,BE21,2017,68.1,
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,BE21,2018,62.6,d
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,BE21,2019,68.7,
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,BE22,2013,59.1,
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,BE22,2014,59.5,
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,BE22,2015,58.4,
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,BE22,2016,61.9,
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,BE22,2017,62.5,
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,BE22,2018,57.0,d
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,BE22,2019,65.9,
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,BE23,2013,78.7,
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,BE23,2014,74.7,
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,BE23,2015,73.5,
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,BE23,2016,75.7,
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,BE23,2017,76.6,
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,BE23,2018,76.9,d
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,BE23,2019,87.1,
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,BE24,2013,63.6,
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,BE24,2014,69.3,
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,BE24,2015,68.5,
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,BE24,2016,69.6,
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,BE24,2017,69.4,
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,BE24,2018,56.7,d
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,BE24,2019,65.0,
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,BE25,2013,52.3,
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,BE25,2014,51.6,
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,BE25,2015,50.9,
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,BE25,2016,55.0,
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,BE25,2017,54.2,
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,BE25,2018,50.5,d
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,BE25,2019,60.4,
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,BE3,2013,50.8,
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,BE3,2014,51.7,
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,BE3,2015,52.5,
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,BE3,2016,53.5,
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,BE3,2017,54.1,
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,BE3,2018,54.5,d
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,BE3,2019,53.9,
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,BE31,2013,40.6,
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,BE31,2014,41.3,
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,BE31,2015,41.4,
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,BE31,2016,41.1,
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,BE31,2017,41.6,
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,BE31,2018,43.0,d
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,BE31,2019,41.8,
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,BE32,2013,52.6,
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,BE32,2014,53.5,
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,BE32,2015,54.2,
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,BE32,2016,55.7,
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,BE32,2017,56.3,
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,BE32,2018,56.3,d
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,BE32,2019,55.8,
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,BE33,2013,50.0,
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,BE33,2014,50.8,
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,BE33,2015,51.6,
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,BE33,2016,53.0,
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,BE33,2017,53.9,
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,BE33,2018,54.6,d
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,BE33,2019,54.3,
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,BE34,2013,50.5,
