DATAFLOW,LAST UPDATE,freq,unit,isced11,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TGS00109(1.0),18/10/21 23:00:00,A,PC,ED5-8,Y25-64,F,AT21,2014,29.5,b
ESTAT:TGS00109(1.0),18/10/21 23:00:00,A,PC,ED5-8,Y25-64,F,AT21,2015,28.2,
ESTAT:TGS00109(1.0),18/10/21 23:00:00,A,PC,ED5-8,Y25-64,F,AT21,2016,28.3,
ESTAT:TGS00109(1.0),18/10/21 23:00:00,A,PC,ED5-8,Y25-64,F,AT21,2017,30.2,
ESTAT:TGS00109(1.0),18/10/21 23:00:00,A,PC,ED5-8,Y25-64,F,AT21,2018,30.6,
ESTAT:TGS00109(1.0),18/10/21 23:00:00,A,PC,ED5-8,Y25-64,F,AT21,2019,32.0,
ESTAT:TGS00109(1.0),18/10/21 23:00:00,A,PC,ED5-8,Y25-64,F,AT21,2020,32.8,
ESTAT:TGS00109(1.0),18/10/21 23:00:00,A,PC,ED5-8,Y25-64,M,AT21,2009,19.2,
ESTAT:TGS00109(1.0),18/10/21 23:00:00,A,PC,ED5-8,Y25-64,M,AT21,2010,19.3,
ESTAT:TGS00109(1.0),18/10/21 23:00:00,A,PC,ED5-8,Y25-64,M,AT21,2011,18.8,
ESTAT:TGS00109(1.0),18/10/21 23:00:00,A,PC,ED5-8,Y25-64,M,AT21,2012,18.9,
ESTAT:TGS00109(1.0),18/10/21 23:00:00,A,PC,ED5-8,Y25-64,M,AT21,2013,17.5,
ESTAT:TGS00109(1.0),18/10/21 23:00:00,A,PC,ED5-8,Y25-64,M,AT21,2014,28.0,b
ESTAT:TGS00109(1.0),18/10/21 23:00:00,A,PC,ED5-8,Y25-64,M,AT21,2015,28.5,
ESTAT:TGS00109(1.0),18/10/21 23:00:00,A,PC,ED5-8,Y25-64,M,AT21,2016,30.6,
ESTAT:TGS00109(1.0),18/10/21 23:00:00,A,PC,ED5-8,Y25-64,M,AT21,2017,29.3,
ESTAT:TGS00109(1.0),18/10/21 23:00:00,A,PC,ED5-8,Y25-64,M,AT21,2018,30.6,
ESTAT:TGS00109(1.0),18/10/21 23:00:00,A,PC,ED5-8,Y25-64,M,AT21,2019,29.5,
ESTAT:TGS00109(1.0),18/10/21 23:00:00,A,PC,ED5-8,Y25-64,M,AT21,2020,31.4,
ESTAT:TGS00109(1.0),18/10/21 23:00:00,A,PC,ED5-8,Y25-64,T,AT21,2009,17.2,
ESTAT:TGS00109(1.0),18/10/21 23:00:00,A,PC,ED5-8,Y25-64,T,AT21,2010,16.6,
ESTAT:TGS00109(1.0),18/10/21 23:00:00,A,PC,ED5-8,Y25-64,T,AT21,2011,16.3,
ESTAT:TGS00109(1.0),18/10/21 23:00:00,A,PC,ED5-8,Y25-64,T,AT21,2012,17.2,
ESTAT:TGS00109(1.0),18/10/21 23:00:00,A,PC,ED5-8,Y25-64,T,AT21,2013,17.3,
ESTAT:TGS00109(1.0),18/10/21 23:00:00,A,PC,ED5-8,Y25-64,T,AT21,2014,28.8,b
ESTAT:TGS00109(1.0),18/10/21 23:00:00,A,PC,ED5-8,Y25-64,T,AT21,2015,28.3,
ESTAT:TGS00109(1.0),18/10/21 23:00:00,A,PC,ED5-8,Y25-64,T,AT21,2016,29.4,
ESTAT:TGS00109(1.0),18/10/21 23:00:00,A,PC,ED5-8,Y25-64,T,AT21,2017,29.7,
ESTAT:TGS00109(1.0),18/10/21 23:00:00,A,PC,ED5-8,Y25-64,T,AT21,2018,30.6,
ESTAT:TGS00109(1.0),18/10/21 23:00:00,A,PC,ED5-8,Y25-64,T,AT21,2019,30.8,
ESTAT:TGS00109(1.0),18/10/21 23:00:00,A,PC,ED5-8,Y25-64,T,AT21,2020,32.1,
ESTAT:TGS00109(1.0),18/10/21 23:00:00,A,PC,ED5-8,Y25-64,F,AT22,2009,14.3,
ESTAT:TGS00109(1.0),18/10/21 23:00:00,A,PC,ED5-8,Y25-64,F,AT22,2010,14.7,
ESTAT:TGS00109(1.0),18/10/21 23:00:00,A,PC,ED5-8,Y25-64,F,AT22,2011,15.1,
ESTAT:TGS00109(1.0),18/10/21 23:00:00,A,PC,ED5-8,Y25-64,F,AT22,2012,15.7,
ESTAT:TGS00109(1.0),18/10/21 23:00:00,A,PC,ED5-8,Y25-64,F,AT22,2013,15.5,
ESTAT:TGS00109(1.0),18/10/21 23:00:00,A,PC,ED5-8,Y25-64,F,AT22,2014,24.5,b
ESTAT:TGS00109(1.0),18/10/21 23:00:00,A,PC,ED5-8,Y25-64,F,AT22,2015,24.4,
ESTAT:TGS00109(1.0),18/10/21 23:00:00,A,PC,ED5-8,Y25-64,F,AT22,2016,27.0,
ESTAT:TGS00109(1.0),18/10/21 23:00:00,A,PC,ED5-8,Y25-64,F,AT22,2017,27.8,
ESTAT:TGS00109(1.0),18/10/21 23:00:00,A,PC,ED5-8,Y25-64,F,AT22,2018,27.8,
ESTAT:TGS00109(1.0),18/10/21 23:00:00,A,PC,ED5-8,Y25-64,F,AT22,2019,29.2,
ESTAT:TGS00109(1.0),18/10/21 23:00:00,A,PC,ED5-8,Y25-64,F,AT22,2020,31.6,
ESTAT:TGS00109(1.0),18/10/21 23:00:00,A,PC,ED5-8,Y25-64,M,AT22,2009,18.8,
ESTAT:TGS00109(1.0),18/10/21 23:00:00,A,PC,ED5-8,Y25-64,M,AT22,2010,16.4,
ESTAT:TGS00109(1.0),18/10/21 23:00:00,A,PC,ED5-8,Y25-64,M,AT22,2011,18.5,
ESTAT:TGS00109(1.0),18/10/21 23:00:00,A,PC,ED5-8,Y25-64,M,AT22,2012,20.0,
ESTAT:TGS00109(1.0),18/10/21 23:00:00,A,PC,ED5-8,Y25-64,M,AT22,2013,19.5,
ESTAT:TGS00109(1.0),18/10/21 23:00:00,A,PC,ED5-8,Y25-64,M,AT22,2014,26.9,b
ESTAT:TGS00109(1.0),18/10/21 23:00:00,A,PC,ED5-8,Y25-64,M,AT22,2015,28.9,
ESTAT:TGS00109(1.0),18/10/21 23:00:00,A,PC,ED5-8,Y25-64,M,AT22,2016,27.7,
ESTAT:TGS00109(1.0),18/10/21 23:00:00,A,PC,ED5-8,Y25-64,M,AT22,2017,27.8,
ESTAT:TGS00109(1.0),18/10/21 23:00:00,A,PC,ED5-8,Y25-64,M,AT22,2018,29.6,
