DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DEMO_R_D3DENS$DEFAULTVIEW(1.0),20/08/21 23:00:00,A,PER_KM2,AL032,2015,162.8,
ESTAT:DEMO_R_D3DENS$DEFAULTVIEW(1.0),20/08/21 23:00:00,A,PER_KM2,AL032,2016,161.3,
ESTAT:DEMO_R_D3DENS$DEFAULTVIEW(1.0),20/08/21 23:00:00,A,PER_KM2,AL032,2017,159.5,
ESTAT:DEMO_R_D3DENS$DEFAULTVIEW(1.0),20/08/21 23:00:00,A,PER_KM2,AL032,2018,157.4,
ESTAT:DEMO_R_D3DENS$DEFAULTVIEW(1.0),20/08/21 23:00:00,A,PER_KM2,AL032,2019,155.2,
ESTAT:DEMO_R_D3DENS$DEFAULTVIEW(1.0),20/08/21 23:00:00,A,PER_KM2,AL033,2015,23.9,
ESTAT:DEMO_R_D3DENS$DEFAULTVIEW(1.0),20/08/21 23:00:00,A,PER_KM2,AL033,2016,23.3,
ESTAT:DEMO_R_D3DENS$DEFAULTVIEW(1.0),20/08/21 23:00:00,A,PER_KM2,AL033,2017,22.4,
ESTAT:DEMO_R_D3DENS$DEFAULTVIEW(1.0),20/08/21 23:00:00,A,PER_KM2,AL033,2018,21.6,
ESTAT:DEMO_R_D3DENS$DEFAULTVIEW(1.0),20/08/21 23:00:00,A,PER_KM2,AL033,2019,21.0,
ESTAT:DEMO_R_D3DENS$DEFAULTVIEW(1.0),20/08/21 23:00:00,A,PER_KM2,AL034,2015,58.6,
ESTAT:DEMO_R_D3DENS$DEFAULTVIEW(1.0),20/08/21 23:00:00,A,PER_KM2,AL034,2016,57.8,
ESTAT:DEMO_R_D3DENS$DEFAULTVIEW(1.0),20/08/21 23:00:00,A,PER_KM2,AL034,2017,56.9,
ESTAT:DEMO_R_D3DENS$DEFAULTVIEW(1.0),20/08/21 23:00:00,A,PER_KM2,AL034,2018,56.0,
ESTAT:DEMO_R_D3DENS$DEFAULTVIEW(1.0),20/08/21 23:00:00,A,PER_KM2,AL034,2019,55.3,
ESTAT:DEMO_R_D3DENS$DEFAULTVIEW(1.0),20/08/21 23:00:00,A,PER_KM2,AL035,2015,69.6,
ESTAT:DEMO_R_D3DENS$DEFAULTVIEW(1.0),20/08/21 23:00:00,A,PER_KM2,AL035,2016,69.7,
ESTAT:DEMO_R_D3DENS$DEFAULTVIEW(1.0),20/08/21 23:00:00,A,PER_KM2,AL035,2017,69.9,
ESTAT:DEMO_R_D3DENS$DEFAULTVIEW(1.0),20/08/21 23:00:00,A,PER_KM2,AL035,2018,70.0,
ESTAT:DEMO_R_D3DENS$DEFAULTVIEW(1.0),20/08/21 23:00:00,A,PER_KM2,AL035,2019,69.9,
ESTAT:DEMO_R_D3DENS$DEFAULTVIEW(1.0),20/08/21 23:00:00,A,PER_KM2,AT,2015,104.9,
ESTAT:DEMO_R_D3DENS$DEFAULTVIEW(1.0),20/08/21 23:00:00,A,PER_KM2,AT,2016,106.0,b
ESTAT:DEMO_R_D3DENS$DEFAULTVIEW(1.0),20/08/21 23:00:00,A,PER_KM2,AT,2017,106.8,
