DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE32,2010,63,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE32,2011,74,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE32,2012,65,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE32,2013,71,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE32,2014,73,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE32,2015,76,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE32,2016,74,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE32,2017,78,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE32,2018,79,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE32,2019,80,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE32,2020,87,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE32,2021,88,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE33,2010,63,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE33,2011,64,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE33,2012,70,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE33,2013,76,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE33,2014,76,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE33,2015,75,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE33,2016,82,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE33,2017,83,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE33,2018,83,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE33,2019,87,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE33,2020,92,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE33,2021,92,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE34,2010,67,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE34,2011,71,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE34,2012,73,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE34,2013,76,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE34,2014,79,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE34,2015,80,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE34,2016,86,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE34,2017,83,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE34,2018,82,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE34,2019,89,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE34,2020,87,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE34,2021,89,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE35,2010,63,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE35,2011,78,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE35,2012,73,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE35,2013,78,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE35,2014,81,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE35,2015,77,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE35,2016,78,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE35,2017,82,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE35,2018,79,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE35,2019,84,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE35,2020,86,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BE35,2021,86,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BG31,2010,24,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BG31,2011,33,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BG31,2012,38,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BG31,2013,42,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BG31,2014,45,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BG31,2015,45,
ESTAT:TGS00048(1.0),16/12/21 11:00:00,A,PC_HH,BG31,2016,58,
