DATAFLOW,LAST UPDATE,freq,indic_is,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TGS00052(1.0),16/12/21 11:00:00,A,I_BLT12,PC_IND,AT32,2016,55,
ESTAT:TGS00052(1.0),16/12/21 11:00:00,A,I_BLT12,PC_IND,AT32,2017,59,
ESTAT:TGS00052(1.0),16/12/21 11:00:00,A,I_BLT12,PC_IND,AT32,2018,62,
ESTAT:TGS00052(1.0),16/12/21 11:00:00,A,I_BLT12,PC_IND,AT32,2019,57,
ESTAT:TGS00052(1.0),16/12/21 11:00:00,A,I_BLT12,PC_IND,AT32,2020,71,
ESTAT:TGS00052(1.0),16/12/21 11:00:00,A,I_BLT12,PC_IND,AT32,2021,64,
ESTAT:TGS00052(1.0),16/12/21 11:00:00,A,I_BLT12,PC_IND,AT33,2010,44,
ESTAT:TGS00052(1.0),16/12/21 11:00:00,A,I_BLT12,PC_IND,AT33,2011,43,
ESTAT:TGS00052(1.0),16/12/21 11:00:00,A,I_BLT12,PC_IND,AT33,2012,48,
ESTAT:TGS00052(1.0),16/12/21 11:00:00,A,I_BLT12,PC_IND,AT33,2013,54,
ESTAT:TGS00052(1.0),16/12/21 11:00:00,A,I_BLT12,PC_IND,AT33,2014,53,
ESTAT:TGS00052(1.0),16/12/21 11:00:00,A,I_BLT12,PC_IND,AT33,2016,58,
ESTAT:TGS00052(1.0),16/12/21 11:00:00,A,I_BLT12,PC_IND,AT33,2017,61,
ESTAT:TGS00052(1.0),16/12/21 11:00:00,A,I_BLT12,PC_IND,AT33,2018,63,
ESTAT:TGS00052(1.0),16/12/21 11:00:00,A,I_BLT12,PC_IND,AT33,2019,65,
ESTAT:TGS00052(1.0),16/12/21 11:00:00,A,I_BLT12,PC_IND,AT33,2020,70,
ESTAT:TGS00052(1.0),16/12/21 11:00:00,A,I_BLT12,PC_IND,AT33,2021,59,
ESTAT:TGS00052(1.0),16/12/21 11:00:00,A,I_BLT12,PC_IND,AT34,2010,44,
ESTAT:TGS00052(1.0),16/12/21 11:00:00,A,I_BLT12,PC_IND,AT34,2011,56,
ESTAT:TGS00052(1.0),16/12/21 11:00:00,A,I_BLT12,PC_IND,AT34,2012,57,
ESTAT:TGS00052(1.0),16/12/21 11:00:00,A,I_BLT12,PC_IND,AT34,2013,59,
ESTAT:TGS00052(1.0),16/12/21 11:00:00,A,I_BLT12,PC_IND,AT34,2014,60,
ESTAT:TGS00052(1.0),16/12/21 11:00:00,A,I_BLT12,PC_IND,AT34,2016,61,
ESTAT:TGS00052(1.0),16/12/21 11:00:00,A,I_BLT12,PC_IND,AT34,2017,64,
ESTAT:TGS00052(1.0),16/12/21 11:00:00,A,I_BLT12,PC_IND,AT34,2018,60,
ESTAT:TGS00052(1.0),16/12/21 11:00:00,A,I_BLT12,PC_IND,AT34,2019,62,
ESTAT:TGS00052(1.0),16/12/21 11:00:00,A,I_BLT12,PC_IND,AT34,2020,67,
ESTAT:TGS00052(1.0),16/12/21 11:00:00,A,I_BLT12,PC_IND,AT34,2021,59,
ESTAT:TGS00052(1.0),16/12/21 11:00:00,A,I_BLT12,PC_IND,BE10,2010,44,
ESTAT:TGS00052(1.0),16/12/21 11:00:00,A,I_BLT12,PC_IND,BE10,2011,44,
ESTAT:TGS00052(1.0),16/12/21 11:00:00,A,I_BLT12,PC_IND,BE10,2012,42,
ESTAT:TGS00052(1.0),16/12/21 11:00:00,A,I_BLT12,PC_IND,BE10,2013,49,
ESTAT:TGS00052(1.0),16/12/21 11:00:00,A,I_BLT12,PC_IND,BE10,2014,55,
ESTAT:TGS00052(1.0),16/12/21 11:00:00,A,I_BLT12,PC_IND,BE10,2015,57,
ESTAT:TGS00052(1.0),16/12/21 11:00:00,A,I_BLT12,PC_IND,BE10,2016,51,
ESTAT:TGS00052(1.0),16/12/21 11:00:00,A,I_BLT12,PC_IND,BE10,2017,52,
ESTAT:TGS00052(1.0),16/12/21 11:00:00,A,I_BLT12,PC_IND,BE10,2018,58,
ESTAT:TGS00052(1.0),16/12/21 11:00:00,A,I_BLT12,PC_IND,BE10,2019,60,
ESTAT:TGS00052(1.0),16/12/21 11:00:00,A,I_BLT12,PC_IND,BE10,2020,68,
ESTAT:TGS00052(1.0),16/12/21 11:00:00,A,I_BLT12,PC_IND,BE10,2021,74,
ESTAT:TGS00052(1.0),16/12/21 11:00:00,A,I_BLT12,PC_IND,BE21,2010,41,
ESTAT:TGS00052(1.0),16/12/21 11:00:00,A,I_BLT12,PC_IND,BE21,2011,45,
ESTAT:TGS00052(1.0),16/12/21 11:00:00,A,I_BLT12,PC_IND,BE21,2012,51,
ESTAT:TGS00052(1.0),16/12/21 11:00:00,A,I_BLT12,PC_IND,BE21,2013,50,
ESTAT:TGS00052(1.0),16/12/21 11:00:00,A,I_BLT12,PC_IND,BE21,2014,61,
ESTAT:TGS00052(1.0),16/12/21 11:00:00,A,I_BLT12,PC_IND,BE21,2015,58,
ESTAT:TGS00052(1.0),16/12/21 11:00:00,A,I_BLT12,PC_IND,BE21,2016,63,
ESTAT:TGS00052(1.0),16/12/21 11:00:00,A,I_BLT12,PC_IND,BE21,2017,69,
ESTAT:TGS00052(1.0),16/12/21 11:00:00,A,I_BLT12,PC_IND,BE21,2018,64,
ESTAT:TGS00052(1.0),16/12/21 11:00:00,A,I_BLT12,PC_IND,BE21,2019,70,
ESTAT:TGS00052(1.0),16/12/21 11:00:00,A,I_BLT12,PC_IND,BE21,2020,77,
ESTAT:TGS00052(1.0),16/12/21 11:00:00,A,I_BLT12,PC_IND,BE21,2021,79,
ESTAT:TGS00052(1.0),16/12/21 11:00:00,A,I_BLT12,PC_IND,BE22,2010,34,
ESTAT:TGS00052(1.0),16/12/21 11:00:00,A,I_BLT12,PC_IND,BE22,2011,43,
ESTAT:TGS00052(1.0),16/12/21 11:00:00,A,I_BLT12,PC_IND,BE22,2012,41,
