DATAFLOW,LAST UPDATE,freq,category,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TGS00038(1.0),10/09/21 23:00:00,A,HRST,PC_ACT,AT33,2012,38.0,
ESTAT:TGS00038(1.0),10/09/21 23:00:00,A,HRST,PC_ACT,AT33,2013,37.7,
ESTAT:TGS00038(1.0),10/09/21 23:00:00,A,HRST,PC_ACT,AT33,2014,42.7,b
ESTAT:TGS00038(1.0),10/09/21 23:00:00,A,HRST,PC_ACT,AT33,2015,43.1,
ESTAT:TGS00038(1.0),10/09/21 23:00:00,A,HRST,PC_ACT,AT33,2016,42.5,
ESTAT:TGS00038(1.0),10/09/21 23:00:00,A,HRST,PC_ACT,AT33,2017,44.0,
ESTAT:TGS00038(1.0),10/09/21 23:00:00,A,HRST,PC_ACT,AT33,2018,45.4,
ESTAT:TGS00038(1.0),10/09/21 23:00:00,A,HRST,PC_ACT,AT33,2019,46.3,
ESTAT:TGS00038(1.0),10/09/21 23:00:00,A,HRST,PC_ACT,AT33,2020,48.5,
ESTAT:TGS00038(1.0),10/09/21 23:00:00,A,HRST,PC_ACT,AT34,2009,34.1,
ESTAT:TGS00038(1.0),10/09/21 23:00:00,A,HRST,PC_ACT,AT34,2010,33.5,
ESTAT:TGS00038(1.0),10/09/21 23:00:00,A,HRST,PC_ACT,AT34,2011,36.4,b
ESTAT:TGS00038(1.0),10/09/21 23:00:00,A,HRST,PC_ACT,AT34,2012,39.1,
ESTAT:TGS00038(1.0),10/09/21 23:00:00,A,HRST,PC_ACT,AT34,2013,40.6,
ESTAT:TGS00038(1.0),10/09/21 23:00:00,A,HRST,PC_ACT,AT34,2014,42.8,b
ESTAT:TGS00038(1.0),10/09/21 23:00:00,A,HRST,PC_ACT,AT34,2015,43.4,
ESTAT:TGS00038(1.0),10/09/21 23:00:00,A,HRST,PC_ACT,AT34,2016,45.0,
ESTAT:TGS00038(1.0),10/09/21 23:00:00,A,HRST,PC_ACT,AT34,2017,44.6,
ESTAT:TGS00038(1.0),10/09/21 23:00:00,A,HRST,PC_ACT,AT34,2018,44.4,
ESTAT:TGS00038(1.0),10/09/21 23:00:00,A,HRST,PC_ACT,AT34,2019,44.5,
ESTAT:TGS00038(1.0),10/09/21 23:00:00,A,HRST,PC_ACT,AT34,2020,45.2,
ESTAT:TGS00038(1.0),10/09/21 23:00:00,A,HRST,PC_ACT,BE10,2009,52.2,
ESTAT:TGS00038(1.0),10/09/21 23:00:00,A,HRST,PC_ACT,BE10,2010,51.8,
ESTAT:TGS00038(1.0),10/09/21 23:00:00,A,HRST,PC_ACT,BE10,2011,52.9,b
ESTAT:TGS00038(1.0),10/09/21 23:00:00,A,HRST,PC_ACT,BE10,2012,52.7,
ESTAT:TGS00038(1.0),10/09/21 23:00:00,A,HRST,PC_ACT,BE10,2013,51.7,
ESTAT:TGS00038(1.0),10/09/21 23:00:00,A,HRST,PC_ACT,BE10,2014,53.6,b
ESTAT:TGS00038(1.0),10/09/21 23:00:00,A,HRST,PC_ACT,BE10,2015,53.1,
